episode_number,Season,EpisodeTitle,Ratings,Viewership,has_guest_stars,rating_category,viewership_category,GuestStars
125,7,Viewing Party,7.8,7.15,False,Medium-Low,Medium (5-8M),
126,7,WUPHF.com,7.7,7.28,False,Medium-Low,Medium (5-8M),
127,7,China,8.2,7.31,False,Medium-Low,Medium (5-8M),
128,7,Classy Christmas,9.0,7.18,False,Medium-High,Medium (5-8M),
129,7,Ultimatum,8.3,8.26,False,Medium-High,High (8M+),
130,7,The Seminar,7.6,7.93,True,Medium-Low,Medium (5-8M),Ricky Gervais
131,7,The Search,8.5,7.29,True,Medium-High,Medium (5-8M),"Will Arnett,  Ray Romano, Jim Carrey, Ricky Gervais"
132,7,PDA,8.4,6.9,False,Medium-High,Medium (5-8M),
133,7,Threat Level Midnight,9.4,6.41,False,High,Medium (5-8M),
134,7,Todd Packer,7.5,6.12,False,Medium-Low,Medium (5-8M),
135,7,Garage Sale,9.3,7.07,False,High,Medium (5-8M),
136,7,Training Day,7.8,7.87,True,Medium-Low,Medium (5-8M),Will Ferrell
137,7,Michael's Last Dundies,9.0,6.85,False,Medium-High,Medium (5-8M),
138,7,"Goodbye, Michael",9.8,8.42,False,High,High (8M+),
139,7,The Inner Circle,7.6,6.9,False,Medium-Low,Medium (5-8M),
140,7,"Dwight K. Schrute, (Acting) Manager",8.7,6.45,False,Medium-High,Medium (5-8M),
141,7,Search Committee,8.8,7.29,False,Medium-High,Medium (5-8M),
142,8,The List,8.1,7.64,False,Medium-Low,Medium (5-8M),
143,8,The Incentive,8.1,6.7,False,Medium-Low,Medium (5-8M),
144,8,Lotto,7.3,5.82,False,Low,Medium (5-8M),
145,8,Garden Party,8.1,6.08,True,Medium-Low,Medium (5-8M),"Josh Groban, Stephen Collins"
146,8,Spooked,7.5,5.53,False,Medium-Low,Medium (5-8M),
147,8,Doomsday,7.7,6.15,False,Medium-Low,Medium (5-8M),
148,8,Pam's Replacement,7.7,5.96,False,Medium-Low,Medium (5-8M),
149,8,Gettysburg,6.9,5.5,False,Low,Medium (5-8M),
150,8,Mrs. California,7.7,5.71,True,Medium-Low,Medium (5-8M),Maura Tierney
151,8,Christmas Wishes,7.9,5.79,False,Medium-Low,Medium (5-8M),
152,8,Trivia,7.9,5.9,False,Medium-Low,Medium (5-8M),
153,8,Pool Party,8.0,6.02,False,Medium-Low,Medium (5-8M),
154,8,Jury Duty,7.4,5.31,False,Medium-Low,Medium (5-8M),
155,8,Special Project,7.7,5.19,False,Medium-Low,Medium (5-8M),
156,8,Tallahassee,7.8,4.38,False,Medium-Low,Low (< 5M),
157,8,After Hours,8.1,5.02,False,Medium-Low,Medium (5-8M),
158,8,Test the Store,7.8,4.95,False,Medium-Low,Low (< 5M),
159,8,Last Day in Florida,7.8,4.89,False,Medium-Low,Low (< 5M),
160,8,Get the Girl,6.6,4.87,False,Low,Low (< 5M),
161,8,Welcome Party,7.1,4.39,False,Low,Low (< 5M),
162,8,Angry Andy,7.0,4.35,False,Low,Low (< 5M),
163,8,Fundraiser,7.0,4.17,False,Low,Low (< 5M),
164,8,Turf War,7.6,4.44,True,Medium-Low,Low (< 5M),Chris Bauer
165,8,Free Family Portrait Studio,7.7,4.49,False,Medium-Low,Low (< 5M),
166,9,New Guys,7.6,4.28,False,Medium-Low,Low (< 5M),
167,9,Roy's Wedding,7.1,4.13,False,Low,Low (< 5M),
168,9,Andy's Ancestry,7.4,4.14,False,Medium-Low,Low (< 5M),
169,9,Work Bus,7.8,4.28,False,Medium-Low,Low (< 5M),
170,9,Here Comes Treble,7.0,4.0,True,Low,Low (< 5M),Stephen Colbert
171,9,The Boat,7.7,4.83,True,Medium-Low,Low (< 5M),Josh Groban
172,9,The Whale,7.6,4.16,False,Medium-Low,Low (< 5M),
173,9,The Target,7.8,3.88,False,Medium-Low,Low (< 5M),
174,9,Dwight Christmas,8.4,4.16,False,Medium-High,Low (< 5M),
175,9,Lice,7.6,4.54,True,Medium-Low,Low (< 5M),Julius Winfield Erving
176,9,Suit Warehouse,7.8,4.15,False,Medium-Low,Low (< 5M),
177,9,Customer Loyalty,7.9,4.19,False,Medium-Low,Low (< 5M),
178,9,Junior Salesman,7.6,4.45,False,Medium-Low,Low (< 5M),
179,9,Vandalism,7.5,3.97,False,Medium-Low,Low (< 5M),
180,9,Couples Discount,7.3,4.15,False,Low,Low (< 5M),
181,9,Moving On,8.1,4.06,False,Medium-Low,Low (< 5M),
182,9,The Farm,7.5,3.54,False,Medium-Low,Low (< 5M),
183,9,Promos,8.0,3.44,True,Medium-Low,Low (< 5M),Ryan Howard
184,9,Stairmageddon,8.0,3.83,False,Medium-Low,Low (< 5M),
185,9,Paper Airplane,8.0,3.25,False,Medium-Low,Low (< 5M),
186,9,Livin' the Dream,9.0,3.51,True,Medium-High,Low (< 5M),Michael Imperioli 
187,9,A.A.R.M.,9.5,4.56,False,High,Low (< 5M),
188,9,Finale,9.8,5.69,True,High,Medium (5-8M),"Joan Cusack, Ed Begley Jr, Rachel Harris, Nancy Walls"
